,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
COTIZACIÒN ,,,,,,,,,
,,,,,,,,,
FECHA:,,07 JULIO 2025,,CLIENTE:,CHEMICOMAYS DE MEXICO S DE RL DE CV .,,,,
COTIZACIÓN:,,CHEMICOMAYS07082025,,AT´N:,FRANCISO JAVIER JIMENEZ,,,,
PLANTA:,,ZODIAC,,,,,,,
,,,,,,,,,
CANT.,,UN,DESCIPCIÓN DEL PRODUCTO,PRESENTCION,,MONEDA     MN. /  USD.,PRECIO UNITARIO,IMPORTE,
,,,,,,,,,
1.-,4.00,L,ALCOHOL ISOPROPILICO EN GALON ,E - 4 Lt,,M.N., $2.00 ,$8.00,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
P=PORRON  T=TAMBOR   C=CONTENEDOR O TOTE  S=SACO E=ENVASE CB=CUBETA,,,,,,,,,
,,,,,,,,,
CONDICIONES VENTA:,,,,,,,,,
1.-Precios mas I.V.A,,,,,,,,,
2.-Condiciones de pago: 30 dias fecha factura.,,,,,,,,,
"3.-Si le es util el precio, favor de enviar orden de compra, para surtir su pedido.",,,,,,,,,
4.-Tiempo de entrega: Inmediata,,,,,,,,,
"Agradeciendo de antemano su preferencia, quedo a sus órdenes para cualquier aclaración.",,,,,,,,,
"Cordialmente,",,,,,,,,,
Amaury Pérez Verdejo,,,,,,,,,
Ventas ,,,,,,,,,
Tel./Fax. (614)481-91-84 ,,,,,,,,,
Cel. (614)121-1388,,,,,,,,,
ventas@quimicaguba.com,,,,,,,,,
www.quimicaguba.com,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
